instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_perturbation_strength,param_max_iterations,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold
J30_1.RCP,0,72.03947368421052,0.1429738998413086,ga,38,1000,0,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_1.RCP,1,73.9342105263158,0.13686609268188477,ga,38,1000,1,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_1.RCP,0,86.5657894736842,0.1103968620300293,sa,38,1000,0,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_1.RCP,1,87.03947368421052,0.11164307594299316,sa,38,1000,1,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_1.RCP,0,104.46052631578948,0.10178804397583008,ils,38,1000,0,,,,60.0,,,,5.0,100.0,,,,,,,
J30_1.RCP,1,77.88157894736842,0.1028141975402832,ils,38,1000,1,,,,60.0,,,,5.0,100.0,,,,,,,
J30_1.RCP,0,63.46052631578947,0.11318111419677734,ts,38,1000,0,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_1.RCP,1,64.5657894736842,0.11214685440063477,ts,38,1000,1,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_2.RCP,0,92.50736961451247,0.13445305824279785,ga,42,1000,0,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_2.RCP,1,99.36451247165535,0.133713960647583,ga,42,1000,1,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_2.RCP,0,99.031179138322,0.11052322387695312,sa,42,1000,0,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_2.RCP,1,103.36451247165535,0.11290287971496582,sa,42,1000,1,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_2.RCP,0,94.22165532879819,0.10463905334472656,ils,42,1000,0,,,,60.0,,,,5.0,100.0,,,,,,,
J30_2.RCP,1,100.60260770975057,0.10213923454284668,ils,42,1000,1,,,,60.0,,,,5.0,100.0,,,,,,,
J30_2.RCP,0,79.22165532879819,0.11259984970092773,ts,42,1000,0,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_2.RCP,1,76.84070294784581,0.11444282531738281,ts,42,1000,1,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_3.RCP,0,77.66684694429422,0.13444209098815918,ga,43,1000,0,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_3.RCP,1,77.15521903731748,0.13416218757629395,ga,43,1000,1,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_3.RCP,0,82.8761492698756,0.10965394973754883,sa,43,1000,0,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
