feature,importance
serial_parallel_indicator,0.16955354940922845
resource_strength_mean,0.13061726733512466
critical_activity_ratio,0.06255937753623354
resource_strength_max,0.05605767081652343
total_work,0.04907496303099082
order_strength,0.04375495799397481
short_arc_indicator,0.04201610002613006
avg_resource_0,0.03387976468852698
long_arc_count,0.03225667940178865
capacity_min,0.03050879621782679
capacity_mean,0.024357196717395974
avg_resource_3,0.022848835878695732
capacity_std,0.020316053187430013
avg_resource_1,0.018596039042370484
avg_resource_2,0.018173770948165184
parallel_degree,0.017071557802558535
n_activities,0.01703343553522402
n_edges,0.01696155110375498
topological_floating,0.015192294470961664
demand_mean,0.015138653243181954
critical_path_len,0.013319397370108909
avg_resource_total,0.013048473588850812
order_strength_new,0.0124524079311084
duration_mean,0.011944423296990851
slack_mean,0.011652152848990207
slack_median,0.011353115902597005
demand_per_activity_mean,0.0111273854235963
density,0.01102189465614363
demand_std,0.010973926424701455
capacity_max,0.010594650478024473
min_regression_level,0.009901921070712385
non_zero_slack_mean,0.008838929372189544
activity_distribution,0.007517569438384523
slack_std,0.007493870557769035
max_progressive_level,0.0073295486174621335
slack_max,0.005461818636283586
slack_min,0.0
avg_out_degree,0.0
avg_in_degree,0.0
resource_usage,0.0
resource_factor,0.0
max_in_degree,0.0
max_out_degree,0.0
n_resources,0.0
network_complexity,0.0
max_successor_count,0.0
min_predecessor_count,0.0
max_predecessor_count,0.0
duration_min,0.0
duration_max,0.0
min_successor_count,0.0
