instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_time_limit,param_seed,param_problem_type,param_use_delay_factors,param_population_size,param_crossover_rate,param_mutation_rate,param_tournament_size,param_crossover,param_mutation,param_elitism,param_initial_temperature,param_cooling_rate,param_min_temperature,param_iterations_per_temperature,param_mutation_operator,param_perturbation_strength,param_local_search_operator,param_perturbation_operator,param_acceptance
J30_1.RCP,0,156.51315789473688,0.14420127868652344,ga,38,1000,60.0,0,rlp,False,50.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_1.RCP,1,156.51315789473688,0.14208316802978516,ga,38,1000,60.0,1,rlp,False,50.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_1.RCP,0,156.51315789473688,0.12464404106140137,sa,38,1000,60.0,0,rlp,False,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_1.RCP,1,156.51315789473688,0.12323999404907227,sa,38,1000,60.0,1,rlp,False,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_1.RCP,0,156.51315789473688,0.12443208694458008,ils,38,1000,60.0,0,rlp,False,,,,,,,,,,,,,5.0,swap,swap,better
J30_1.RCP,1,156.51315789473688,0.12433886528015137,ils,38,1000,60.0,1,rlp,False,,,,,,,,,,,,,5.0,swap,swap,better
J30_2.RCP,0,149.69784580498867,0.1371161937713623,ga,42,1000,60.0,0,rlp,False,50.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_2.RCP,1,149.69784580498867,0.1373138427734375,ga,42,1000,60.0,1,rlp,False,50.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_2.RCP,0,149.69784580498867,0.12426328659057617,sa,42,1000,60.0,0,rlp,False,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_2.RCP,1,149.69784580498867,0.1277928352355957,sa,42,1000,60.0,1,rlp,False,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_2.RCP,0,149.69784580498867,0.1263129711151123,ils,42,1000,60.0,0,rlp,False,,,,,,,,,,,,,5.0,swap,swap,better
J30_2.RCP,1,149.69784580498867,0.1248471736907959,ils,42,1000,60.0,1,rlp,False,,,,,,,,,,,,,5.0,swap,swap,better
J30_3.RCP,0,126.69010275824769,0.13540410995483398,ga,43,1000,60.0,0,rlp,False,50.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_3.RCP,1,126.69010275824769,0.13488197326660156,ga,43,1000,60.0,1,rlp,False,50.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
