instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_elite_size,param_path_strategy,param_local_search_eval_limit,param_tabu_tenure,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold
J30_1.RCP,0,86.46052631578948,0.47122693061828613,GA_roulette_single_point_random_none,38,1000,0,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,76.35526315789475,0.43693017959594727,GA_roulette_single_point_random_none,38,1000,1,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,71.51315789473684,0.35158801078796387,DE_rand/1_bin,38,1000,0,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_1.RCP,1,76.19736842105263,0.3094179630279541,DE_rand/1_bin,38,1000,1,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_1.RCP,0,116.09210526315792,0.28337693214416504,PR_forward_best,38,1000,0,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_1.RCP,1,112.19736842105263,0.2970411777496338,PR_forward_best,38,1000,1,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_1.RCP,0,63.46052631578947,0.2532057762145996,TS_static,38,1000,0,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_1.RCP,1,64.5657894736842,0.2500741481781006,TS_static,38,1000,1,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_2.RCP,0,97.65022675736964,0.4159679412841797,GA_roulette_single_point_random_none,42,1000,0,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_2.RCP,1,99.74546485260774,0.5170092582702637,GA_roulette_single_point_random_none,42,1000,1,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
