instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_strategy,param_local_search_interval
J30_1.RCP,0,63.82894736842106,0.4511837959289551,BA_none,38,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_1.RCP,1,64.14473684210526,0.44453978538513184,BA_none,38,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_2.RCP,0,97.36451247165535,0.43292903900146484,BA_none,42,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_2.RCP,1,95.36451247165532,0.42760610580444336,BA_none,42,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_3.RCP,0,74.36452136289887,0.42505407333374023,BA_none,43,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_3.RCP,1,76.6901027582477,0.42972493171691895,BA_none,43,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_4.RCP,0,55.877685950413216,0.42691516876220703,BA_none,55,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_4.RCP,1,56.8595041322314,0.4286231994628906,BA_none,55,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_5.RCP,0,72.7637877211238,0.5531611442565918,BA_none,31,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_5.RCP,1,54.5057232049948,0.44861817359924316,BA_none,31,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_6.RCP,0,63.89612188365651,0.43496012687683105,BA_none,38,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_6.RCP,1,66.00138504155125,0.4242229461669922,BA_none,38,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_7.RCP,0,52.69194444444445,0.42890501022338867,BA_none,60,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_7.RCP,1,52.69194444444445,0.40987181663513184,BA_none,60,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_8.RCP,0,63.69312922748309,0.43642115592956543,BA_none,53,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_8.RCP,1,61.65539337842649,0.41396617889404297,BA_none,53,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_9.RCP,0,86.25,0.4230680465698242,BA_none,42,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_9.RCP,1,85.82142857142857,0.46766209602355957,BA_none,42,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_10.RCP,0,72.9218407596786,0.41560792922973633,BA_none,37,1000,0,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
J30_10.RCP,1,71.40832724616507,0.42117810249328613,BA_none,37,1000,1,50,60.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10
