instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval
J30_1.RCP,0,63.4078947368421,0.5303952693939209,PSO_none_none,38,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_1.RCP,1,60.98684210526316,0.5108547210693359,PSO_none_none,38,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_1.RCP,0,63.82894736842106,0.41877317428588867,BA_none,38,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_1.RCP,1,64.14473684210526,0.42412900924682617,BA_none,38,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_2.RCP,0,92.65022675736961,0.5187840461730957,PSO_none_none,42,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_2.RCP,1,85.55498866213152,0.5099630355834961,PSO_none_none,42,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_2.RCP,0,97.36451247165535,0.4330770969390869,BA_none,42,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_2.RCP,1,95.36451247165532,0.45848703384399414,BA_none,42,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_3.RCP,0,70.64359113034071,0.49857401847839355,PSO_none_none,43,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_3.RCP,1,70.78312601406165,0.5002439022064209,PSO_none_none,43,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_3.RCP,0,74.36452136289887,0.41606783866882324,BA_none,43,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_3.RCP,1,76.6901027582477,0.4156181812286377,BA_none,43,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_4.RCP,0,61.623140495867766,0.4891178607940674,PSO_none_none,55,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_4.RCP,1,52.786776859504144,0.4980502128601074,PSO_none_none,55,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_4.RCP,0,55.877685950413216,0.4205608367919922,BA_none,55,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_4.RCP,1,56.8595041322314,0.4250459671020508,BA_none,55,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_5.RCP,0,56.376690946930275,0.4976358413696289,PSO_none_none,31,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_5.RCP,1,59.27991675338189,0.5041322708129883,PSO_none_none,31,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_5.RCP,0,72.7637877211238,0.4144601821899414,BA_none,31,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_5.RCP,1,54.5057232049948,0.41825222969055176,BA_none,31,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_6.RCP,0,62.94875346260388,0.49280810356140137,PSO_none_none,38,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_6.RCP,1,60.15927977839334,0.48723673820495605,PSO_none_none,38,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_6.RCP,0,63.89612188365651,0.4106321334838867,BA_none,38,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_6.RCP,1,66.00138504155125,0.4292581081390381,BA_none,38,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_7.RCP,0,53.59194444444445,0.4871702194213867,PSO_none_none,60,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_7.RCP,1,54.05861111111111,0.49022698402404785,PSO_none_none,60,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_7.RCP,0,52.69194444444445,0.4074389934539795,BA_none,60,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_7.RCP,1,52.69194444444445,0.4237792491912842,BA_none,60,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_8.RCP,0,59.995016019935925,0.4811410903930664,PSO_none_none,53,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_8.RCP,1,64.33463866144535,0.498837947845459,PSO_none_none,53,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_8.RCP,0,63.69312922748309,0.40925097465515137,BA_none,53,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_8.RCP,1,61.65539337842649,0.42711901664733887,BA_none,53,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_9.RCP,0,92.29761904761902,0.4862809181213379,PSO_none_none,42,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_9.RCP,1,85.29761904761905,0.48955512046813965,PSO_none_none,42,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_9.RCP,0,86.25,0.41837501525878906,BA_none,42,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_9.RCP,1,85.82142857142857,0.4238321781158447,BA_none,42,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_10.RCP,0,73.67859751643536,0.5160489082336426,PSO_none_none,37,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_10.RCP,1,73.78670562454347,0.5087101459503174,PSO_none_none,37,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,
J30_10.RCP,0,72.9218407596786,0.4268381595611572,BA_none,37,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
J30_10.RCP,1,71.40832724616507,0.4259371757507324,BA_none,37,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0
