instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_max_iterations,param_elite_size,param_path_strategy,param_use_local_search,param_local_search_eval_limit,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy
J30_1.RCP,0,86.46052631578948,0.4746849536895752,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_1.RCP,1,76.35526315789475,0.4179818630218506,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_1.RCP,0,105.19736842105264,0.11975288391113281,PR_forward_best_noLS,38,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_1.RCP,1,100.56578947368422,0.09218096733093262,PR_forward_best_noLS,38,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_1.RCP,0,62.98684210526316,0.4192240238189697,HS_fixed_random,38,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_1.RCP,1,64.51315789473684,0.4087400436401367,HS_fixed_random,38,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_2.RCP,0,97.65022675736964,0.4068019390106201,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,42,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_2.RCP,1,99.74546485260774,0.4131641387939453,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,42,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_2.RCP,0,101.84070294784581,0.11081600189208984,PR_forward_best_noLS,42,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_2.RCP,1,108.55498866213152,0.11818909645080566,PR_forward_best_noLS,42,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_2.RCP,0,86.88832199546485,0.43099093437194824,HS_fixed_random,42,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_2.RCP,1,89.31689342403628,0.41694116592407227,HS_fixed_random,42,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
