instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_final_temp,param_f_min,param_f_max,param_A0,param_r0,param_gamma,rpd
J30_1.RCP,0,86.46052631578948,0.7990672588348389,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,41.76914778856528
J30_1.RCP,1,76.35526315789475,0.7415390014648438,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,25.199568500539403
J30_1.RCP,0,63.4078947368421,0.8038797378540039,PSO_none_none,38,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,3.969795037756199
J30_1.RCP,1,60.98684210526316,0.7970218658447266,PSO_none_none,38,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,0.0
J30_1.RCP,0,63.82894736842106,0.6808459758758545,BA_none,38,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,4.660194174757297
J30_1.RCP,1,64.14473684210526,0.796497106552124,BA_none,38,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,5.177993527508087
J30_2.RCP,0,97.65022675736964,0.8402259349822998,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,42,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,14.137384954843352
J30_2.RCP,1,99.74546485260774,0.7284269332885742,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,42,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,16.586380773792598
J30_2.RCP,0,92.65022675736961,0.8054289817810059,PSO_none_none,42,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,8.293190386896274
J30_2.RCP,1,85.55498866213152,0.849968671798706,PSO_none_none,42,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,0.0
J30_2.RCP,0,97.36451247165535,0.6901330947875977,BA_none,42,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,13.803430979532083
J30_2.RCP,1,95.36451247165532,0.7145569324493408,BA_none,42,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,11.465753152353233
J30_3.RCP,0,78.78312601406165,0.7390680313110352,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,43,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,11.521972132904628
J30_3.RCP,1,78.41103299080585,0.7286453247070312,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,43,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,10.995253406829006
J30_3.RCP,0,70.64359113034071,0.8505659103393555,PSO_none_none,43,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,0.0
J30_3.RCP,1,70.78312601406165,0.7914891242980957,PSO_none_none,43,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,0.1975195222783802
J30_3.RCP,0,74.36452136289887,0.6882851123809814,BA_none,43,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,5.2671872607564225
J30_3.RCP,1,76.6901027582477,0.669870138168335,BA_none,43,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,8.559179298729164
J30_4.RCP,0,72.4595041322314,0.6676647663116455,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,55,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,37.268286573146256
J30_4.RCP,1,75.62314049586776,0.6838760375976562,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,55,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,43.26152304609213
J30_4.RCP,0,61.623140495867766,0.7971639633178711,PSO_none_none,55,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,16.739729458917804
J30_4.RCP,1,52.786776859504144,0.7907209396362305,PSO_none_none,55,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,0.0
J30_4.RCP,0,55.877685950413216,0.6591367721557617,BA_none,55,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,5.85546092184365
J30_4.RCP,1,56.8595041322314,0.6853728294372559,BA_none,55,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,7.715430861723414
J30_5.RCP,0,77.02185223725284,0.770251989364624,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,31,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,41.309660175639515
J30_5.RCP,1,84.82830385015606,0.7196040153503418,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,31,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,55.63192058037413
J30_5.RCP,0,56.376690946930275,0.7890517711639404,PSO_none_none,31,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,3.4326078655975367
J30_5.RCP,1,59.27991675338189,0.7925601005554199,PSO_none_none,31,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,8.759068346697198
J30_5.RCP,0,72.7637877211238,0.6671011447906494,BA_none,31,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,33.49751813669334
J30_5.RCP,1,54.5057232049948,0.6639962196350098,BA_none,31,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.0
J30_6.RCP,0,68.5803324099723,0.7466518878936768,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,13.997927938298629
J30_6.RCP,1,69.52770083102493,0.7308762073516846,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,15.57269483135722
J30_6.RCP,0,62.94875346260388,0.8036689758300781,PSO_none_none,38,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,4.6368136295614395
J30_6.RCP,1,60.15927977839334,0.8580038547515869,PSO_none_none,38,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,0.0
J30_6.RCP,0,63.89612188365651,0.6849222183227539,BA_none,38,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,6.211580522620031
J30_6.RCP,1,66.00138504155125,0.6721351146697998,BA_none,38,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,9.711062507194676
J30_7.RCP,0,53.92527777777778,0.7347462177276611,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,60,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,2.340648739265425
J30_7.RCP,1,55.72527777777779,0.7381548881530762,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,60,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,5.756730683058246
J30_7.RCP,0,53.59194444444445,0.7997500896453857,PSO_none_none,60,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,1.708040971896397
J30_7.RCP,1,54.05861111111111,0.8527579307556152,PSO_none_none,60,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,2.593691846213039
J30_7.RCP,0,52.69194444444445,0.6758027076721191,BA_none,60,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.0
J30_7.RCP,1,52.69194444444445,0.6712758541107178,BA_none,60,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.0
J30_8.RCP,0,77.20256318974724,0.6956400871276855,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,53,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,28.681627760701602
J30_8.RCP,1,71.7686009255963,0.6950840950012207,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,53,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,19.62427162574321
J30_8.RCP,0,59.995016019935925,0.7898061275482178,PSO_none_none,53,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,0.0
J30_8.RCP,1,64.33463866144535,0.7905547618865967,PSO_none_none,53,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,7.23330524666816
J30_8.RCP,0,63.69312922748309,0.6735630035400391,BA_none,53,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,6.16403403629113
J30_8.RCP,1,61.65539337842649,0.678015947341919,BA_none,53,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,2.767525485681731
J30_9.RCP,0,108.3452380952381,0.759984016418457,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,42,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,27.020237264480112
J30_9.RCP,1,101.25,0.7627899646759033,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,42,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,18.702023726448004
J30_9.RCP,0,92.29761904761902,0.85294508934021,PSO_none_none,42,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,8.206559665038347
J30_9.RCP,1,85.29761904761905,0.836108922958374,PSO_none_none,42,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,0.0
J30_9.RCP,0,86.25,0.671309232711792,BA_none,42,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,1.1165387299371907
J30_9.RCP,1,85.82142857142857,0.6820271015167236,BA_none,42,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.6140963014654507
J30_10.RCP,0,82.16508400292183,0.7579998970031738,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,37,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,15.063728799689033
