feature,importance
total_work,0.42784139323105635
order_strength,0.1845620186642151
serial_parallel_indicator,0.1786425975899346
resource_strength_mean,0.05648184507883685
critical_activity_ratio,0.019649654096286325
resource_strength_max,0.00985145182206068
capacity_std,0.008738032153612735
long_arc_count,0.0069854198685315
duration_mean,0.006960791430828846
slack_median,0.0067994907801388485
demand_std,0.006652268962017378
slack_std,0.006540244971566653
slack_mean,0.0058829880456976735
avg_resource_1,0.005662821054591819
short_arc_indicator,0.005581380905377554
topological_floating,0.005199116316638331
activity_distribution,0.0047564635058291805
avg_resource_3,0.004742982706889938
non_zero_slack_mean,0.004122269222168041
demand_mean,0.004105098297437766
avg_resource_2,0.0037014350554657495
critical_path_len,0.003679011073373734
avg_resource_0,0.003574391949291863
capacity_mean,0.003334789894605034
capacity_min,0.003082886374671825
demand_per_activity_mean,0.0028540320066825172
avg_resource_total,0.002850100789722153
slack_max,0.0026737713678898875
order_strength_new,0.0023060981504487055
min_regression_level,0.002272032926721847
n_activities,0.0021096918528132587
capacity_max,0.0019785555375710557
parallel_degree,0.00182750516555589
density,0.001818605146204094
n_edges,0.00131764983338203
max_progressive_level,0.0008359331856499936
duration_max,2.5180986234254107e-05
max_predecessor_count,0.0
slack_min,0.0
n_resources,0.0
resource_usage,0.0
resource_factor,0.0
avg_out_degree,0.0
min_predecessor_count,0.0
avg_in_degree,0.0
max_out_degree,0.0
max_in_degree,0.0
network_complexity,0.0
duration_min,0.0
max_successor_count,0.0
min_successor_count,0.0
