instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_strategy,param_local_search_interval,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,param_initialization_strategy
J30_1.RCP,0,63.82894736842106,0.44170331954956055,BA_none,38,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,64.14473684210526,0.4320368766784668,BA_none,38,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,63.4078947368421,0.48333024978637695,PSO_none_none,38,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_1.RCP,1,60.98684210526316,0.48363614082336426,PSO_none_none,38,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_1.RCP,0,62.98684210526316,0.4147007465362549,HS_fixed_random,38,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_1.RCP,1,64.51315789473684,0.41239500045776367,HS_fixed_random,38,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_2.RCP,0,97.36451247165535,0.40923500061035156,BA_none,42,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_2.RCP,1,95.36451247165532,0.3997209072113037,BA_none,42,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_2.RCP,0,92.65022675736961,0.48063015937805176,PSO_none_none,42,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_2.RCP,1,85.55498866213152,0.4786539077758789,PSO_none_none,42,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_2.RCP,0,86.88832199546485,0.42356181144714355,HS_fixed_random,42,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_2.RCP,1,89.31689342403628,0.417891263961792,HS_fixed_random,42,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_3.RCP,0,74.36452136289887,0.40016818046569824,BA_none,43,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_3.RCP,1,76.6901027582477,0.40674424171447754,BA_none,43,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_3.RCP,0,70.64359113034071,0.4733467102050781,PSO_none_none,43,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_3.RCP,1,70.78312601406165,0.4784419536590576,PSO_none_none,43,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_3.RCP,0,71.80638182801515,0.41455793380737305,HS_fixed_random,43,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_3.RCP,1,70.87614926987563,0.4251391887664795,HS_fixed_random,43,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_4.RCP,0,55.877685950413216,0.3990139961242676,BA_none,55,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_4.RCP,1,56.8595041322314,0.43485498428344727,BA_none,55,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_4.RCP,0,61.623140495867766,0.6231091022491455,PSO_none_none,55,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_4.RCP,1,52.786776859504144,0.5538351535797119,PSO_none_none,55,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_4.RCP,0,59.1504132231405,0.42495083808898926,HS_fixed_random,55,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_4.RCP,1,62.82314049586776,0.4636659622192383,HS_fixed_random,55,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_5.RCP,0,72.7637877211238,0.40432095527648926,BA_none,31,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_5.RCP,1,54.5057232049948,0.39888572692871094,BA_none,31,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_5.RCP,0,56.376690946930275,0.4737989902496338,PSO_none_none,31,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_5.RCP,1,59.27991675338189,0.4790370464324951,PSO_none_none,31,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_5.RCP,0,57.021852237252865,0.4156959056854248,HS_fixed_random,31,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_5.RCP,1,58.69927159209157,0.4893779754638672,HS_fixed_random,31,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_6.RCP,0,63.89612188365651,0.4263339042663574,BA_none,38,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_6.RCP,1,66.00138504155125,0.4131491184234619,BA_none,38,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_6.RCP,0,62.94875346260388,0.4789869785308838,PSO_none_none,38,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_6.RCP,1,60.15927977839334,0.5242171287536621,PSO_none_none,38,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_6.RCP,0,60.159279778393355,0.41481804847717285,HS_fixed_random,38,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_6.RCP,1,60.68559556786704,0.41538190841674805,HS_fixed_random,38,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_7.RCP,0,52.69194444444445,0.4208991527557373,BA_none,60,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_7.RCP,1,52.69194444444445,0.40549707412719727,BA_none,60,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_7.RCP,0,53.59194444444445,0.4824540615081787,PSO_none_none,60,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_7.RCP,1,54.05861111111111,0.523576021194458,PSO_none_none,60,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_7.RCP,0,51.82527777777779,0.4174928665161133,HS_fixed_random,60,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_7.RCP,1,52.258611111111115,0.42255568504333496,HS_fixed_random,60,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_8.RCP,0,63.69312922748309,0.4099440574645996,BA_none,53,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_8.RCP,1,61.65539337842649,0.407329797744751,BA_none,53,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_8.RCP,0,59.995016019935925,0.4744558334350586,PSO_none_none,53,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_8.RCP,1,64.33463866144535,0.4714481830596924,PSO_none_none,53,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_8.RCP,0,63.46671413314347,0.46393299102783203,HS_fixed_random,53,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_8.RCP,1,67.7308650765397,0.42035365104675293,HS_fixed_random,53,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_9.RCP,0,86.25,0.40511512756347656,BA_none,42,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_9.RCP,1,85.82142857142857,0.4022040367126465,BA_none,42,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_9.RCP,0,92.29761904761902,0.4848599433898926,PSO_none_none,42,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_9.RCP,1,85.29761904761905,0.4749140739440918,PSO_none_none,42,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_9.RCP,0,84.25,0.40105104446411133,HS_fixed_random,42,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_9.RCP,1,84.53571428571429,0.41794800758361816,HS_fixed_random,42,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_10.RCP,0,72.9218407596786,0.4044811725616455,BA_none,37,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_10.RCP,1,71.40832724616507,0.40334582328796387,BA_none,37,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_10.RCP,0,73.67859751643536,0.5150060653686523,PSO_none_none,37,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_10.RCP,1,73.78670562454347,0.5737450122833252,PSO_none_none,37,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_10.RCP,0,72.54346238130023,0.4062671661376953,HS_fixed_random,37,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_10.RCP,1,74.32724616508399,0.42360424995422363,HS_fixed_random,37,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
