instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_strategy,param_local_search_interval,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate
J30_1.RCP,0,63.82894736842106,0.4318721294403076,BA_none,38,1000,0,50,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,
J30_1.RCP,1,64.14473684210526,0.40975069999694824,BA_none,38,1000,1,50,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,
J30_1.RCP,0,63.4078947368421,0.480914831161499,PSO_none_none,38,1000,0,50,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9
J30_1.RCP,1,60.98684210526316,0.4902670383453369,PSO_none_none,38,1000,1,50,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9
J30_2.RCP,0,97.36451247165535,0.4092369079589844,BA_none,42,1000,0,50,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,
J30_2.RCP,1,95.36451247165532,0.4095189571380615,BA_none,42,1000,1,50,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,
J30_2.RCP,0,92.65022675736961,0.4707019329071045,PSO_none_none,42,1000,0,50,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9
J30_2.RCP,1,85.55498866213152,0.4795188903808594,PSO_none_none,42,1000,1,50,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9
J30_3.RCP,0,74.36452136289887,0.4026377201080322,BA_none,43,1000,0,50,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,
J30_3.RCP,1,76.6901027582477,0.4100930690765381,BA_none,43,1000,1,50,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,
J30_3.RCP,0,70.64359113034071,0.47286295890808105,PSO_none_none,43,1000,0,50,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9
J30_3.RCP,1,70.78312601406165,0.5248901844024658,PSO_none_none,43,1000,1,50,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9
J30_4.RCP,0,55.877685950413216,0.49987101554870605,BA_none,55,1000,0,50,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,
J30_4.RCP,1,56.8595041322314,0.40598297119140625,BA_none,55,1000,1,50,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,
J30_4.RCP,0,61.623140495867766,0.47083091735839844,PSO_none_none,55,1000,0,50,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9
J30_4.RCP,1,52.786776859504144,0.47167491912841797,PSO_none_none,55,1000,1,50,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9
