instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_crossover_rate,param_mutation_rate,param_selection_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_elite_size,param_path_strategy,param_local_search_eval_limit
J30_1.RCP,0,79.51315789473684,0.378864049911499,DE_rand/1_fixedF_bin_adaptiveCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,80.67105263157895,0.3352932929992676,DE_rand/1_fixedF_bin_adaptiveCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,86.46052631578948,0.4315011501312256,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,38,1000,0,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_1.RCP,1,76.35526315789475,0.41255688667297363,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,38,1000,1,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_1.RCP,0,116.09210526315792,0.2892189025878906,PR_forward_best_withLS,38,1000,0,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_1.RCP,1,112.19736842105263,0.2878997325897217,PR_forward_best_withLS,38,1000,1,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_2.RCP,0,95.55498866213154,0.32254481315612793,DE_rand/1_fixedF_bin_adaptiveCR_withLS,42,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_2.RCP,1,89.84070294784581,0.3239750862121582,DE_rand/1_fixedF_bin_adaptiveCR_withLS,42,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_2.RCP,0,97.65022675736964,0.3944399356842041,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,42,1000,0,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_2.RCP,1,99.74546485260774,0.41005802154541016,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,42,1000,1,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
