instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_tabu_tenure,param_max_iterations,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_final_temp,param_f_min,param_f_max,param_A0,param_r0,param_gamma,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_1.RCP,0,86.46052631578948,0.4705052375793457,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.76914778856528
J30_1.RCP,1,76.35526315789475,0.4021890163421631,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.199568500539403
J30_1.RCP,0,63.46052631578947,0.2511780261993408,TS_static,38,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,4.056094929881336
J30_1.RCP,1,64.5657894736842,0.25255775451660156,TS_static,38,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,5.8683926645091615
J30_1.RCP,0,63.4078947368421,0.47673702239990234,PSO_none_none,38,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,3.969795037756199
J30_1.RCP,1,60.98684210526316,0.4847729206085205,PSO_none_none,38,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,0.0
J30_1.RCP,0,63.82894736842106,0.3900747299194336,BA_none,38,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,4.660194174757297
J30_1.RCP,1,64.14473684210526,0.4043300151824951,BA_none,38,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,5.177993527508087
J30_1.RCP,0,62.98684210526316,0.4229309558868408,HS_fixed_random,38,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,3.2793959007551243
J30_1.RCP,1,64.51315789473684,0.444136381149292,HS_fixed_random,38,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,5.782092772384024
J30_2.RCP,0,97.65022675736964,0.4220850467681885,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.08138136587311
J30_2.RCP,1,99.74546485260774,0.4362449645996094,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.808110839782536
J30_2.RCP,0,79.22165532879819,0.24614715576171875,TS_static,42,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,3.0985562203516106
J30_2.RCP,1,76.84070294784581,0.2453019618988037,TS_static,42,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,0.0
J30_2.RCP,0,92.65022675736961,0.4707221984863281,PSO_none_none,42,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,20.574413303134687
J30_2.RCP,1,85.55498866213152,0.47478318214416504,PSO_none_none,42,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,11.340715766486891
J30_2.RCP,0,97.36451247165535,0.41556501388549805,BA_none,42,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,26.709554619430907
J30_2.RCP,1,95.36451247165532,0.4042208194732666,BA_none,42,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,24.106767394335517
