instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,param_initialization_strategy,rpd
J30_1.RCP,0,63.4078947368421,0.451261043548584,PSO_none_none,38,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,3.969795037756199
J30_1.RCP,1,60.98684210526316,0.44617700576782227,PSO_none_none,38,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,0.0
J30_1.RCP,0,63.82894736842106,0.37363409996032715,BA_none,38,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,4.660194174757297
J30_1.RCP,1,64.14473684210526,0.37618589401245117,BA_none,38,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,5.177993527508087
J30_1.RCP,0,62.98684210526316,0.3886539936065674,HS_fixed_random,38,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,3.2793959007551243
J30_1.RCP,1,64.51315789473684,0.38966894149780273,HS_fixed_random,38,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,5.782092772384024
J30_2.RCP,0,92.65022675736961,0.4473741054534912,PSO_none_none,42,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,8.293190386896274
J30_2.RCP,1,85.55498866213152,0.4496309757232666,PSO_none_none,42,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,0.0
J30_2.RCP,0,97.36451247165535,0.3751070499420166,BA_none,42,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,13.803430979532083
J30_2.RCP,1,95.36451247165532,0.3726201057434082,BA_none,42,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,11.465753152353233
