instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_final_temp,rpd
J30_1.RCP,0,86.46052631578948,0.4151170253753662,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,41.76914778856528
J30_1.RCP,1,76.35526315789475,0.3804159164428711,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,25.199568500539403
J30_1.RCP,0,63.4078947368421,0.45538997650146484,PSO_none_none,38,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,3.969795037756199
J30_1.RCP,1,60.98684210526316,0.45894575119018555,PSO_none_none,38,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_2.RCP,0,97.65022675736964,0.3932769298553467,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,14.137384954843352
J30_2.RCP,1,99.74546485260774,0.38778233528137207,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,16.586380773792598
J30_2.RCP,0,92.65022675736961,0.4545168876647949,PSO_none_none,42,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,8.293190386896274
J30_2.RCP,1,85.55498866213152,0.4534740447998047,PSO_none_none,42,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_3.RCP,0,78.78312601406165,0.3671858310699463,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,43,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,11.521972132904628
J30_3.RCP,1,78.41103299080585,0.3610231876373291,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,43,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,10.995253406829006
J30_3.RCP,0,70.64359113034071,0.4563789367675781,PSO_none_none,43,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_3.RCP,1,70.78312601406165,0.4489879608154297,PSO_none_none,43,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,0.1975195222783802
J60_1.RCP,0,114.60313712261764,0.6308479309082031,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,77,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,51.76765420627547
J60_1.RCP,1,111.74599426547478,0.639991044998169,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,77,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,47.983971839039384
J60_1.RCP,0,83.82391634339685,0.8564701080322266,PSO_none_none,77,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,11.007075977414038
J60_1.RCP,1,75.51222803170855,0.8488779067993164,PSO_none_none,77,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J90_1.RCP,0,191.2073958565382,0.8871963024139404,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,67,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,51.234252488767495
J90_1.RCP,1,183.23724660280686,0.8954579830169678,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,67,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,44.930314509734814
J90_1.RCP,0,134.0432167520606,1.2421441078186035,PSO_none_none,67,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,6.02061492379526
J90_1.RCP,1,126.43127645355314,1.2437629699707031,PSO_none_none,67,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,0.0
j120_1.rcp,0,199.90572390572393,1.186704158782959,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,99,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,54.220998493428226
j120_1.rcp,1,208.5925925925926,1.1726670265197754,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,99,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,60.922645332225045
j120_1.rcp,0,143.74410774410774,1.735421895980835,PSO_none_none,99,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,10.894072419346438
j120_1.rcp,1,129.62289562289564,1.6516640186309814,PSO_none_none,99,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,0.0
