instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_strategy,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_1.RCP,0,81.67105263157895,0.3105180263519287,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,29.663672446208476
J30_1.RCP,1,71.77631578947368,0.3032698631286621,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,13.954459995822019
J30_1.RCP,0,63.46052631578947,0.22301697731018066,TS_static,38,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.752036766241904
J30_1.RCP,1,64.5657894736842,0.22706079483032227,TS_static,38,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,2.506789220806343
J30_1.RCP,0,63.82894736842106,0.37925004959106445,BA_none,38,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,1.3369542510967356
J30_1.RCP,1,64.14473684210526,0.3772270679473877,BA_none,38,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,1.8383120952579861
J30_1.RCP,0,62.98684210526316,0.3988029956817627,HS_fixed_random,38,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_1.RCP,1,64.51315789473684,0.3987252712249756,HS_fixed_random,38,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,2.423229580112795
J30_2.RCP,0,94.84070294784581,0.30393290519714355,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,23.425085025858188
J30_2.RCP,1,93.50736961451247,0.29958510398864746,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,21.689893542461274
J30_2.RCP,0,79.22165532879819,0.22106599807739258,TS_static,42,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,3.0985562203516106
J30_2.RCP,1,76.84070294784581,0.22396302223205566,TS_static,42,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.0
J30_2.RCP,0,97.36451247165535,0.3832240104675293,BA_none,42,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,26.709554619430907
J30_2.RCP,1,95.36451247165532,0.3821439743041992,BA_none,42,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,24.106767394335517
J30_2.RCP,0,86.88832199546485,0.39215517044067383,HS_fixed_random,42,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,13.07590724988379
J30_2.RCP,1,89.31689342403628,0.4617946147918701,HS_fixed_random,42,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,16.236434594642436
J30_3.RCP,0,74.45754461871282,0.29746580123901367,DE_rand/1_fixedF_bin_fixedCR_noLS,43,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,7.378404517517864
J30_3.RCP,1,78.13196322336398,0.29825615882873535,DE_rand/1_fixedF_bin_fixedCR_noLS,43,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,12.677440489189786
J30_3.RCP,0,69.34126554894537,0.22324204444885254,TS_static,43,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.0
J30_3.RCP,1,73.43428880475932,0.21518301963806152,TS_static,43,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,5.902723614014279
J30_3.RCP,0,74.36452136289887,0.3806948661804199,BA_none,43,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,7.244251708108458
J30_3.RCP,1,76.6901027582477,0.3761019706726074,BA_none,43,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,10.598071943343845
J30_3.RCP,0,71.80638182801515,0.39247703552246094,HS_fixed_random,43,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,3.555049449349527
J30_3.RCP,1,70.87614926987563,0.3901851177215576,HS_fixed_random,43,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,2.213521355255388
