instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_final_temp,param_f_min,param_f_max,param_A0,param_r0,param_gamma,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_1.RCP,0,86.46052631578948,0.3968017101287842,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,41.76914778856528
J30_1.RCP,1,76.35526315789475,0.3819420337677002,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,25.199568500539403
J30_1.RCP,0,63.4078947368421,0.4487621784210205,PSO_none_none,38,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,3.969795037756199
J30_1.RCP,1,60.98684210526316,0.44971704483032227,PSO_none_none,38,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,0.0
J30_1.RCP,0,63.82894736842106,0.3750898838043213,BA_none,38,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,4.660194174757297
J30_1.RCP,1,64.14473684210526,0.3812551498413086,BA_none,38,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,5.177993527508087
J30_1.RCP,0,62.98684210526316,0.3962900638580322,HS_fixed_random,38,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,3.2793959007551243
J30_1.RCP,1,64.51315789473684,0.391390323638916,HS_fixed_random,38,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,5.782092772384024
J30_2.RCP,0,97.65022675736964,0.3709390163421631,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,14.137384954843352
J30_2.RCP,1,99.74546485260774,0.3752758502960205,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,16.586380773792598
J30_2.RCP,0,92.65022675736961,0.44960498809814453,PSO_none_none,42,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,8.293190386896274
J30_2.RCP,1,85.55498866213152,0.4496769905090332,PSO_none_none,42,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,0.0
J30_2.RCP,0,97.36451247165535,0.37708187103271484,BA_none,42,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,13.803430979532083
J30_2.RCP,1,95.36451247165532,0.4261951446533203,BA_none,42,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,11.465753152353233
J30_2.RCP,0,86.88832199546485,0.39668822288513184,HS_fixed_random,42,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,1.558451884785873
