instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_tabu_tenure,param_max_iterations,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_f_min,param_f_max,param_A0,param_r0,param_gamma,rpd
J30_1.RCP,0,86.46052631578948,0.39818692207336426,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,36.24300228073814
J30_1.RCP,1,76.35526315789475,0.39280200004577637,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,20.31930333817129
J30_1.RCP,0,63.46052631578947,0.23075103759765625,TS_static,38,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_1.RCP,1,64.5657894736842,0.32291507720947266,TS_static,38,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,1.7416545718432448
J30_1.RCP,0,63.82894736842106,0.4154350757598877,BA_none,38,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.5805515239477669
J30_1.RCP,1,64.14473684210526,0.38436007499694824,BA_none,38,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,1.078167115902962
J30_2.RCP,0,97.65022675736964,0.38181614875793457,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,27.08138136587311
J30_2.RCP,1,99.74546485260774,0.38148999214172363,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,29.808110839782536
J30_2.RCP,0,79.22165532879819,0.2240450382232666,TS_static,42,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,3.0985562203516106
J30_2.RCP,1,76.84070294784581,0.22587895393371582,TS_static,42,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_2.RCP,0,97.36451247165535,0.3786911964416504,BA_none,42,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,26.709554619430907
J30_2.RCP,1,95.36451247165532,0.3754732608795166,BA_none,42,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,24.106767394335517
J30_3.RCP,0,78.78312601406165,0.3658287525177002,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,43,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,13.616510155055689
J30_3.RCP,1,78.41103299080585,0.3626890182495117,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,43,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,13.079898917418046
J30_3.RCP,0,69.34126554894537,0.2175121307373047,TS_static,43,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_3.RCP,1,73.43428880475932,0.22060799598693848,TS_static,43,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,5.902723614014279
J30_3.RCP,0,74.36452136289887,0.38042712211608887,BA_none,43,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,7.244251708108458
J30_3.RCP,1,76.6901027582477,0.3753373622894287,BA_none,43,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,10.598071943343845
J30_4.RCP,0,72.4595041322314,0.35162901878356934,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,55,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,33.05208206871434
J30_4.RCP,1,75.62314049586776,0.3618292808532715,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,55,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,38.861235886852
J30_4.RCP,0,58.095867768595035,0.22008109092712402,TS_static,55,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,6.677188296709962
J30_4.RCP,1,54.4595041322314,0.21757292747497559,TS_static,55,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_4.RCP,0,55.877685950413216,0.37648987770080566,BA_none,55,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,2.6041034357168806
J30_4.RCP,1,56.8595041322314,0.3937959671020508,BA_none,55,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,4.406944275828576
J30_5.RCP,0,77.02185223725284,0.37426209449768066,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,31,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,47.78181527772226
J30_5.RCP,1,84.82830385015606,0.37491726875305176,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,31,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,62.76005270933987
J30_5.RCP,0,53.40894901144642,0.2236461639404297,TS_static,31,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,2.475741724234314
J30_5.RCP,1,52.11862643080126,0.22127294540405273,TS_static,31,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_5.RCP,0,72.7637877211238,0.3798489570617676,BA_none,31,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,39.611867587749
J30_5.RCP,1,54.5057232049948,0.37847185134887695,BA_none,31,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,4.580122189833478
J30_6.RCP,0,68.5803324099723,0.3816688060760498,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,14.49878598681931
J30_6.RCP,1,69.52770083102493,0.3792989253997803,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,16.080471730835956
J30_6.RCP,0,59.8961218836565,0.22412967681884766,TS_static,38,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_6.RCP,1,61.52770083102494,0.2174062728881836,TS_static,38,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,2.724014336917593
J30_6.RCP,0,63.89612188365651,0.37444519996643066,BA_none,38,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,6.678228696959211
J30_6.RCP,1,66.00138504155125,0.38272523880004883,BA_none,38,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,10.193085905885093
J30_7.RCP,0,53.92527777777778,0.41243982315063477,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,60,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,4.119044681980802
J30_7.RCP,1,55.72527777777779,0.3877098560333252,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,60,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,7.594488632402115
J30_7.RCP,0,51.79194444444445,0.22272491455078125,TS_static,60,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,1.3719174736184632e-14
J30_7.RCP,1,51.79194444444444,0.2248530387878418,TS_static,60,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_7.RCP,0,52.69194444444445,0.37394213676452637,BA_none,60,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,1.7377219752106698
J30_7.RCP,1,52.69194444444445,0.3725607395172119,BA_none,60,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,1.7377219752106698
J30_8.RCP,0,77.20256318974724,0.36190319061279297,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,53,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,35.32054562018744
J30_8.RCP,1,71.7686009255963,0.3615889549255371,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,53,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,25.795904104631283
J30_8.RCP,0,57.05161979352083,0.21642017364501953,TS_static,53,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_8.RCP,1,66.03275186899252,0.2173161506652832,TS_static,53,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,15.742115838210873
J30_8.RCP,0,63.69312922748309,0.37790989875793457,BA_none,53,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,11.641228519013088
J30_8.RCP,1,61.65539337842649,0.37311315536499023,BA_none,53,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,8.069487950679529
J30_9.RCP,0,108.3452380952381,0.3981819152832031,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,33.50447410884555
J30_9.RCP,1,101.25,0.38982415199279785,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,24.761625348393732
J30_9.RCP,0,85.96428571428571,0.22588586807250977,TS_static,42,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,5.926360569165324
J30_9.RCP,1,81.1547619047619,0.22457075119018555,TS_static,42,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_9.RCP,0,86.25,0.3707761764526367,BA_none,42,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,6.278421593076142
J30_9.RCP,1,85.82142857142857,0.37734222412109375,BA_none,42,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,5.750330057209923
J30_10.RCP,0,82.16508400292183,0.3791780471801758,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,37,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,20.15724143824638
J30_10.RCP,1,80.75967859751643,0.37851381301879883,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,37,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,18.10199329160165
J30_10.RCP,0,68.38130021913807,0.22173833847045898,TS_static,37,1000,0,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,0.0
J30_10.RCP,1,71.73265157048941,0.22559070587158203,TS_static,37,1000,1,,,,60.0,,,,,,,,,,,,,20.0,,,,10.0,100.0,True,static,1.0,4.0,10.0,,,,,,4.900976349691268
J30_10.RCP,0,72.9218407596786,0.37506985664367676,BA_none,37,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,6.640032473775278
J30_10.RCP,1,71.40832724616507,0.37203192710876465,BA_none,37,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,4.426688315850158
