feature,importance
n_activities,0.0
max_predecessor_count,0.0
slack_mean,0.0
slack_std,0.0
slack_min,0.0
slack_max,0.0
slack_median,0.0
non_zero_slack_mean,0.0
critical_activity_ratio,0.0
duration_mean,0.0
duration_max,0.0
duration_min,0.0
min_predecessor_count,0.0
avg_resource_2,0.0
max_successor_count,0.0
min_successor_count,0.0
network_complexity,0.0
order_strength_new,0.0
serial_parallel_indicator,0.0
activity_distribution,0.0
short_arc_indicator,0.0
long_arc_count,0.0
topological_floating,0.0
max_progressive_level,0.0
avg_resource_3,0.0
avg_resource_1,0.0
n_resources,0.0
capacity_std,0.0
n_edges,0.0
avg_out_degree,0.0
avg_in_degree,0.0
max_out_degree,0.0
max_in_degree,0.0
critical_path_len,0.0
order_strength,0.0
parallel_degree,0.0
density,0.0
capacity_mean,0.0
capacity_min,0.0
avg_resource_0,0.0
capacity_max,0.0
demand_mean,0.0
demand_std,0.0
demand_per_activity_mean,0.0
total_work,0.0
resource_strength_mean,0.0
resource_strength_max,0.0
resource_factor,0.0
resource_usage,0.0
avg_resource_total,0.0
min_regression_level,0.0
