instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_elite_size,param_path_strategy,param_selection_strategy,param_local_search_eval_limit,rpd
J30_1.RCP,0,81.67105263157895,0.3075649738311767,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,28.695832469417375
J30_1.RCP,1,71.77631578947368,0.2997491359710693,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,13.103877254820654
J30_1.RCP,0,63.46052631578947,0.223578929901123,TS_static,38,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_1.RCP,1,64.5657894736842,0.2568600177764892,TS_static,38,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,1.7416545718432448
J30_1.RCP,0,105.19736842105264,0.1114430427551269,PR_forward_best_noLS,38,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,65.76819407008088
J30_1.RCP,1,100.56578947368422,0.0946071147918701,PR_forward_best_noLS,38,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,58.469832054737736
J30_2.RCP,0,94.8407029478458,0.2981369495391845,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,23.425085025858188
J30_2.RCP,1,93.50736961451248,0.2956030368804931,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,21.689893542461274
J30_2.RCP,0,79.22165532879819,0.2227928638458252,TS_static,42,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,3.0985562203516106
J30_2.RCP,1,76.84070294784581,0.228856086730957,TS_static,42,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_2.RCP,0,101.8407029478458,0.1036012172698974,PR_forward_best_noLS,42,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,32.53484031369192
J30_2.RCP,1,108.55498866213152,0.0810041427612304,PR_forward_best_noLS,42,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,41.27276885508346
J30_3.RCP,0,74.45754461871282,0.2987289428710937,DE_rand/1_fixedF_bin_fixedCR_noLS,43,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,7.378404517517864
J30_3.RCP,1,78.13196322336398,0.2938170433044433,DE_rand/1_fixedF_bin_fixedCR_noLS,43,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,12.677440489189786
J30_3.RCP,0,69.34126554894537,0.2179388999938964,TS_static,43,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_3.RCP,1,73.43428880475932,0.2157211303710937,TS_static,43,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,5.902723614014279
J30_3.RCP,0,78.45754461871283,0.0837459564208984,PR_forward_best_noLS,43,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,13.146975322122758
J30_3.RCP,1,91.2947539210384,0.0743348598480224,PR_forward_best_noLS,43,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,31.660063020622093
J30_4.RCP,0,65.95041322314049,0.2982320785522461,DE_rand/1_fixedF_bin_fixedCR_noLS,55,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,21.09991501760349
J30_4.RCP,1,72.60495867768594,0.2958440780639648,DE_rand/1_fixedF_bin_fixedCR_noLS,55,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,33.31916960058273
J30_4.RCP,0,58.095867768595035,0.2201168537139892,TS_static,55,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,6.677188296709962
J30_4.RCP,1,54.4595041322314,0.2160658836364746,TS_static,55,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_4.RCP,0,85.1504132231405,0.0746262073516845,PR_forward_best_noLS,55,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,56.355469224232145
J30_4.RCP,1,89.18677685950415,0.1068170070648193,PR_forward_best_noLS,55,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,63.76714823358023
J30_5.RCP,0,68.89281997918833,0.2947871685028076,DE_rand/1_fixedF_bin_fixedCR_noLS,31,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,32.18464241504607
J30_5.RCP,1,66.89281997918835,0.2978513240814209,DE_rand/1_fixedF_bin_fixedCR_noLS,31,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,28.34724274248291
J30_5.RCP,0,53.40894901144642,0.2183570861816406,TS_static,31,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,2.475741724234314
J30_5.RCP,1,52.11862643080126,0.2187540531158447,TS_static,31,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_5.RCP,0,86.18314255983348,0.1164019107818603,PR_forward_best_noLS,31,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,65.3595815197859
J30_5.RCP,1,96.11862643080124,0.0850870609283447,PR_forward_best_noLS,31,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,84.42279279639014
J30_6.RCP,0,61.84349030470914,0.3002679347991943,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,3.2512429182564673
J30_6.RCP,1,62.264542936288095,0.2969286441802978,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,3.9542143600416537
J30_6.RCP,0,59.8961218836565,0.2256901264190673,TS_static,38,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_6.RCP,1,61.52770083102494,0.2181241512298584,TS_static,38,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,2.724014336917593
J30_6.RCP,0,70.2645429362881,0.0799808502197265,PR_forward_best_noLS,38,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,17.310671753960026
J30_6.RCP,1,74.5803324099723,0.0828058719635009,PR_forward_best_noLS,38,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,24.516129032258092
J30_7.RCP,0,54.95861111111112,0.2962398529052734,DE_rand/1_fixedF_bin_fixedCR_noLS,60,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,6.114206949815256
J30_7.RCP,1,53.458611111111125,0.2974002361297607,DE_rand/1_fixedF_bin_fixedCR_noLS,60,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,3.218003657797528
J30_7.RCP,0,51.79194444444445,0.2239332199096679,TS_static,60,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,1.3719174736184632e-14
J30_7.RCP,1,51.79194444444444,0.2239241600036621,TS_static,60,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_7.RCP,0,58.19194444444445,0.0847549438476562,PR_forward_best_noLS,60,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,12.357134045942392
J30_7.RCP,1,66.72527777777778,0.0893988609313964,PR_forward_best_noLS,60,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,28.83331277386553
J30_8.RCP,0,73.91954432182271,0.2936558723449707,DE_rand/1_fixedF_bin_fixedCR_noLS,53,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,29.566074704538924
J30_8.RCP,1,73.01388394446423,0.2988719940185547,DE_rand/1_fixedF_bin_fixedCR_noLS,53,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,27.97863445194624
J30_8.RCP,0,57.05161979352083,0.2202448844909668,TS_static,53,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_8.RCP,1,66.03275186899252,0.2182221412658691,TS_static,53,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,15.742115838210871
J30_8.RCP,0,90.14595941616234,0.0955560207366943,PR_forward_best_noLS,53,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,58.007712563491374
J30_8.RCP,1,71.7686009255963,0.0926249027252197,PR_forward_best_noLS,53,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,25.795904104631283
J30_9.RCP,0,89.05952380952381,0.3032300472259521,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,9.740354994865786
J30_9.RCP,1,100.91666666666669,0.3013298511505127,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,24.350887487164457
J30_9.RCP,0,85.96428571428571,0.2238709926605224,TS_static,42,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,5.926360569165324
J30_9.RCP,1,81.1547619047619,0.225081205368042,TS_static,42,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_9.RCP,0,109.48809523809524,0.1352498531341552,PR_forward_best_noLS,42,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,34.91271820448879
J30_9.RCP,1,138.96428571428572,0.0920350551605224,PR_forward_best_noLS,42,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,71.23368050462082
J30_10.RCP,0,74.59751643535428,0.2930452823638916,DE_rand/1_fixedF_bin_fixedCR_noLS,37,1000,0,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,9.090520648620922
J30_10.RCP,1,77.5164353542732,0.2971160411834717,DE_rand/1_fixedF_bin_fixedCR_noLS,37,1000,1,50.0,60.0,100,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,13.359112953190753
J30_10.RCP,0,68.38130021913807,0.2297990322113037,TS_static,37,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,0.0
J30_10.RCP,1,71.73265157048941,0.2245709896087646,TS_static,37,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,4.900976349691268
J30_10.RCP,0,78.81373265157049,0.0782961845397949,PR_forward_best_noLS,37,1000,0,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,15.25626508855511
J30_10.RCP,1,80.97589481373265,0.0860068798065185,PR_forward_best_noLS,37,1000,1,,60.0,100,,,,,,,,False,,,,,,,,,,,,,,10.0,forward,best,50.0,18.41818531416239
