instance_id,seed,best_objective,runtime,algorithm_name,deadline,encoding_type,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_par_min,param_par_max,param_parameter_strategy,param_initialization_strategy
J30_1.RCP,0,156.51315789473688,0.5945940017700195,PSO_none_none,38,activity_list,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,,,,,,,,,,,,,,
J30_1.RCP,1,156.51315789473688,0.5819070339202881,PSO_none_none,38,activity_list,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,,,,,,,,,,,,,,
J30_1.RCP,0,156.51315789473688,0.5787508487701416,PSO_none_adaptive,38,activity_list,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,,,,,,,,,,,,,,
J30_1.RCP,1,156.51315789473688,0.5817849636077881,PSO_none_adaptive,38,activity_list,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,,,,,,,,,,,,,,
J30_1.RCP,0,156.51315789473688,0.5803439617156982,PSO_swap_none,38,activity_list,1000,0,50.0,60.0,0.729,1.49445,1.49445,swap,none,30.0,,,,,,,,,,,,,,
J30_1.RCP,1,156.51315789473688,0.5836338996887207,PSO_swap_none,38,activity_list,1000,1,50.0,60.0,0.729,1.49445,1.49445,swap,none,30.0,,,,,,,,,,,,,,
J30_1.RCP,0,156.51315789473688,0.5634129047393799,PSO_swap_adaptive,38,activity_list,1000,0,50.0,60.0,0.729,1.49445,1.49445,swap,adaptive,30.0,,,,,,,,,,,,,,
J30_1.RCP,1,156.51315789473688,0.5645649433135986,PSO_swap_adaptive,38,activity_list,1000,1,50.0,60.0,0.729,1.49445,1.49445,swap,adaptive,30.0,,,,,,,,,,,,,,
J30_1.RCP,0,156.51315789473688,0.49226880073547363,BA_none,38,activity_list,1000,0,50.0,60.0,,,,none,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,
J30_1.RCP,1,156.51315789473688,0.5134339332580566,BA_none,38,activity_list,1000,1,50.0,60.0,,,,none,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,
J30_1.RCP,0,156.51315789473688,0.47596192359924316,BA_swap,38,activity_list,1000,0,50.0,60.0,,,,swap,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,
J30_1.RCP,1,156.51315789473688,0.4699530601501465,BA_swap,38,activity_list,1000,1,50.0,60.0,,,,swap,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,
J30_1.RCP,0,156.51315789473688,0.9237120151519775,HS_fixed_random,38,activity_list,1000,0,,60.0,,,,,,,,,,,,,,50.0,0.9,0.3,0.1,0.9,fixed,random
J30_1.RCP,1,156.51315789473688,0.9455389976501465,HS_fixed_random,38,activity_list,1000,1,,60.0,,,,,,,,,,,,,,50.0,0.9,0.3,0.1,0.9,fixed,random
J30_1.RCP,0,156.51315789473688,0.9100363254547119,HS_fixed_forward,38,activity_list,1000,0,,60.0,,,,,,,,,,,,,,50.0,0.9,0.3,0.1,0.9,fixed,forward
J30_1.RCP,1,156.51315789473688,0.9219069480895996,HS_fixed_forward,38,activity_list,1000,1,,60.0,,,,,,,,,,,,,,50.0,0.9,0.3,0.1,0.9,fixed,forward
J30_1.RCP,0,156.51315789473688,0.9982447624206543,HS_adaptive_random,38,activity_list,1000,0,,60.0,,,,,,,,,,,,,,50.0,0.9,0.3,0.1,0.9,adaptive,random
J30_1.RCP,1,156.51315789473688,0.9767799377441406,HS_adaptive_random,38,activity_list,1000,1,,60.0,,,,,,,,,,,,,,50.0,0.9,0.3,0.1,0.9,adaptive,random
J30_1.RCP,0,156.51315789473688,0.9554829597473145,HS_adaptive_forward,38,activity_list,1000,0,,60.0,,,,,,,,,,,,,,50.0,0.9,0.3,0.1,0.9,adaptive,forward
J30_1.RCP,1,156.51315789473688,0.9560000896453857,HS_adaptive_forward,38,activity_list,1000,1,,60.0,,,,,,,,,,,,,,50.0,0.9,0.3,0.1,0.9,adaptive,forward
